gcnconv-drop,l_pre,l_mp,l_post,stage,epoch,ckpt_clean,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
0.0,1,2,2,stack,55,True,0.7454,0.0338,361.0,0.5317,0.0038,0.6644,0.158,0.6643,0.1573,0.7953,0.1513,0.6914,0.0608,0.8618,0.007
0.0,1,2,2,stack,55,True,0.7125,0.0757,361.0,0.5365,0.0064,0.6774,0.1666,0.6542,0.1507,0.8569,0.1059,0.7188,0.0755,0.8661,0.0009
0.0,1,3,1,skipconcat,99,True,0.7446,0.012,661.0,0.7426,0.0005,0.6658,0.0809,0.4208,0.2995,0.6031,0.428,0.4942,0.3496,0.867,0.0015
0.0,1,3,1,skipconcat,99,True,0.7446,0.012,661.0,0.7388,0.0069,0.6658,0.0809,0.4208,0.2995,0.6031,0.428,0.4942,0.3496,0.867,0.0015
0.0,1,3,1,skipconcat,280,True,0.7005,0.073,661.0,0.7479,0.0046,0.68,0.0971,0.4494,0.3251,0.5796,0.415,0.5004,0.3543,0.8669,0.0016
0.0,1,3,1,skipsum,33,True,0.7069,0.0456,361.0,0.7384,0.0042,0.6914,0.1702,0.6807,0.1721,0.851,0.1076,0.7289,0.0798,0.8968,0.0169
0.0,1,3,1,skipsum,33,True,0.6896,0.0701,361.0,0.7372,0.0032,0.6927,0.1709,0.6762,0.1705,0.8663,0.1043,0.733,0.0824,0.9042,0.0065
0.0,1,3,1,skipsum,33,True,0.7365,0.0039,361.0,0.7441,0.0076,0.692,0.1705,0.678,0.1711,0.8592,0.1053,0.731,0.0811,0.8748,0.048
0.0,1,3,1,stack,37,True,0.761,0.0045,361.0,0.7384,0.0041,0.4806,0.0549,0.2945,0.2083,0.6667,0.4714,0.4085,0.2889,0.8515,0.0003
0.0,1,3,1,stack,124,True,0.7518,0.0148,361.0,0.7383,0.0089,0.5307,0.1257,0.5028,0.0863,0.9502,0.0704,0.6487,0.0508,0.8442,0.0103
0.0,1,3,1,stack,124,True,0.7518,0.0148,361.0,0.7396,0.004,0.5307,0.1257,0.5028,0.0863,0.9502,0.0704,0.6487,0.0508,0.8442,0.0103
0.0,1,3,2,skipconcat,69,True,0.681,0.0171,771.0,0.7391,0.004,0.7895,0.0039,0.7449,0.0339,0.8051,0.0603,0.771,0.0104,0.8703,0.0047
