protein.Accession,protein_probability,protein_probability_soft_label,gene_symbol,mRNA_TPM,hard_label
P57740,0.175999745,0.999995552,NUP107,2.933899204,1
P57764,0.871121375,0.96499239,GSDMD,0.033560034,1
P57772,0.129865474,0.465902606,EEFSEC,0.653734079,
P57773,0.210127239,0.326686285,GJA9,0,
P58005,0.574157296,0.611786058,SESN3,0.465068933,
P58107,0.98938249,0.961469677,EPPK1,3.942054555,1
P58166,0.219531265,0.12761829,INHBE,0.326978634,0
P58304,0.368287104,0.304101017,VSX2,0,
P58397,0.159304535,0.420368858,ADAMTS12,0,
P58400,0.286943804,0.560504102,NRXN1,0,
P58401,0.712363739,0.392532108,NRXN2,0.064013129,
P58417,0.338951146,0.272566203,NXPH1,0,0
P58505,0.171963894,0.220967306,C21orf58,2.619823451,0
P58546,0.999999997,0.99999846,MTPN,3.42274952,1
P58550,0.659240074,0.082549042,FXYD6P3,0,0
P58743,0.878328002,0.509432152,SLC26A5,0.055974558,
P58876,0.999999677,0.999999909,H2BC5,3.448833798,1
P59044,0.157714576,0.341828128,NLRP6,0.59832241,
P59045,0.216990909,0.661186736,NLRP11,0.013001757,
P59046,0.345970195,0.496565722,NLRP12,0.499076781,
P59047,0.163451337,0.395724021,NLRP5,0,
P59051,0.913743987,0,BRWD1-AS2,2.040577026,0
P59090,0.694194377,0.222100779,TSPEAR-AS2,1.296529015,0
P59095,0.617124279,0.212134543,STARD6,0,0
P59190,0.999999963,0.999990937,RAB15,2.50365406,1
P59510,0.254968142,0.296933855,ADAMTS20,0.00844342,0
P59665,0.999999999,0.999349258,DEFA1; DEFA1B,0,1
P59666,0.999999999,0.999349258,DEFA3,1.078203705,1
P59768,0.999983718,0.856925422,GNG2,0.503485176,1
P59797,0.134736697,0.046746179,SELENOV,0.058982075,0
P59827,0.131065812,0.271095477,BPIFB4,0,0
P59998,0.999999969,0.999999908,ARPC4,4.197074638,1
P60006,0.979958737,0,ANAPC15,4.1185641,0
P60059,0.910670187,0.703252808,SEC61G,4.514300199,1
P60174,1,1,TPI1,7.721927309,1
P60201,0.389696141,0.032574039,PLP1,0,0
P60228,0.999986919,0.999999846,EIF3E,2.510009642,1
P60468,0.990479521,0.999984742,SEC61B,4.669567205,1
P60510,0.999691154,0.962056168,PPP4C,5.748860975,1
P60520,0.92866419,0.751292282,GABARAPL2,3.889418514,1
P60608,0.243985392,0.309743184,ERVFC1-1,0,
P60660,1,0.99999999,MYL6,7.12428441,1
P60709,1,1,ACTB,7.550873155,1
P60763,0.999999981,0.999946093,RAC3,4.109548467,1
P60827,0.776350921,0.422604744,C1QTNF8,0,
P60842,1,1,EIF4A1,5.581313105,1
P60852,0.227283789,0.291060572,ZP1,0.315817516,0
P60866,0.996723331,0.744072211,RPS20,7.256416368,1
P60880,0.545410676,0.196727758,SNAP25,0.019611469,0
P60891,0.99948154,0.99435079,PRPS1,3.42154753,1
P60893,0.577728812,0.149828856,GPR85,0.914428159,0
P60900,0.999999993,0.999922002,PSMA6,2.516225275,1
P60903,1,0.999999991,S100A10,7.438241547,1
P60953,0.99999999,0.99999983,CDC42,4.325571229,1
P60981,0.999960153,0.999999692,DSTN,4.755259945,1
P60983,0.999992682,0.856638182,GMFB,3.64383485,1
P61006,0.999999988,0.999999975,RAB8A,3.98198335,1
P61009,0.998574274,0.999994983,SPCS3,4.283491951,1
P61011,0.996432518,0.916267514,SRP54,2.758142436,1
P61018,0.999999612,0.999994611,RAB4B,2.559272921,1
P61019,0.999999941,1,RAB2A,2.620576464,1
P61020,0.999959068,0.999999645,RAB5B,3.673163857,1
P61026,0.999999994,0.999999766,RAB10,3.260559193,1
P61077,0.999954671,0.999988912,UBE2D3,3.52027444,1
P61081,0.999834247,0.807142022,UBE2M,5.959334684,1
P61088,0.999999793,0.999900495,UBE2N,3.73529745,1
P61106,0.999999612,0.999999768,RAB14,3.359192442,1
P61158,1,1,ACTR3,3.385016444,1
P61160,1,0.999999985,ACTR2,4.531277969,1
P61163,0.999955076,0.999996166,ACTR1A,3.073550827,1
P61165,0.996019634,0.694392671,TMEM258,3.27695013,
P61201,0.981164134,0.940871933,COPS2,2.603655204,1
P61204,0.999999676,1,ARF3,4.507518904,1
P61221,0.996475358,0.999670608,ABCE1,3.541865428,1
P61224,0.999999935,0.999999926,RAP1B,2.775181612,1
P61225,0.999984786,0.99999994,RAP2B,5.223853727,1
P61244,0.767314596,0.261442664,MAX,1.676239656,0
P61247,0.999996665,0.999999621,RPS3A,6.980253237,1
P61289,0.996237844,0.999979304,PSME3,4.626667624,1
P61296,0.891898891,0.20988799,HAND2,0.823685808,0
P61313,0.999993401,0.999996982,RPL15,6.870164866,1
P61326,0.999999991,0.999999879,MAGOH,4.01715156,1
P61371,0.23008949,0.170405728,ISL1,2.296949139,0
P61421,0.99937019,0.999997627,ATP6V0D1,3.254036031,1
P61457,0.999991702,0.714282345,PCBD1,5.492613501,1
P61586,1,0.999999997,RHOA,4.25446032,1
P61587,0.73965924,0.567216102,RND3,2.333956017,
P61601,0.981988305,0.744447342,NCALD,0.055950769,1
P61604,0.999999911,0.999999986,HSPE1,6.32421234,1
P61619,0.893655254,0.999992033,SEC61A1,5.289316614,1
P61626,0.999999922,0.99999975,LYZ,8.393035115,1
P61758,0.999999986,0.999951481,VBP1,2.650456105,1
P61764,0.965609482,0.609958156,STXBP1,0.209888002,
P61769,1,0.999999825,B2M,5.975996973,1
P61803,0.999999888,1,DAD1,3.64339079,1
P61916,0.999990231,0.999869909,NPC2,4.487268533,1
P61923,0.880095568,0.999985241,COPZ1,3.62702242,1
P61956,0.999988145,0.990503347,SUMO2,4.392973893,1
P61964,0.92613119,0.686952779,WDR5,3.716265445,
P61970,1,0.99999947,NUTF2,4.120300129,1
P61978,1,0.999999999,HNRNPK,6.200947827,1
P61981,0.999999879,1,YWHAG,4.896783468,1
P62068,0.231738776,0.470558995,USP46,1.194923392,
P62070,0.61860128,0.989001291,RRAS2,0.071211112,1
P62081,0.999999926,0.999998295,RPS7,7.726868036,1
P62136,0.999728185,0.999997506,PPP1CA,4.409672721,1
P62140,0.999873623,0.99999875,PPP1CB,3.990606203,1
P62166,0.171749226,0.146913552,NCS1,0.667017949,0
P62191,0.999996942,0.999991704,PSMC1,4.078898465,1
P62195,0.999999734,0.99999862,PSMC5,5.894831316,1
P62244,0.999999764,0.999999997,RPS15A,6.748245986,1
P62249,0.999959448,0.9999996,RPS16,8.506375311,1
P62258,0.999999997,1,YWHAE,0.075250688,1
P62263,0.999987754,0.999982659,RPS14,6.806183196,1
P62266,0.997669829,0.854688095,RPS23,6.885341983,1
P62269,0.999644283,0.999957475,RPS18,0.794417866,1
P62277,0.999645064,0.854367926,RPS13,7.033402448,1
P62280,0.922152948,0.855977405,RPS11,8.394665652,1
P62304,0.998643905,0.856603076,SNRPE,4.690881296,1
P62306,0.999994891,0.999999663,SNRPF,3.62874807,1
P62310,0.999999684,0.997998829,LSM3,3.275979552,1
P62312,0.999713655,0.712945254,LSM6,2.211118256,1
P62314,0.999999529,0.993496804,SNRPD1,4.394097077,1
P62316,0.99996106,0.999271483,SNRPD2,6.25199754,1
P62318,0.999997407,0.999715627,SNRPD3,4.753947661,1
P62330,0.999998223,0.999743162,ARF6,6.369177203,1
P62333,0.999997997,0.999999958,PSMC6,3.818439018,1
P62341,0.840732592,0.999742116,SELENOT,3.091159987,1
P62424,0.971530748,0.871255387,RPL7A,8.561884389,1
P62487,0.665680023,0.60371215,POLR2G,4.318396149,
P62491,0.999999923,0.999999997,RAB11A,2.345997674,1
P62495,0.999357208,0.994911384,ETF1,3.822892664,1
P62508,0.720420597,0.330229271,ESRRG,0.002118113,
P62701,0.159230088,0.999999027,RPS4X,6.529667129,1
P62714,0.999999998,0.999973061,PPP2CB,2.941771871,1
P62736,1,1,ACTA2,0.551169667,1
P62745,0.999999995,0.9999985,RHOB,7.849922388,1
P62750,0.999987168,0.999701651,RPL23A,7.374721121,1
P62753,0.999999997,0.911195542,RPS6,8.175271224,1
P62805,1,0.999999541,H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16,0,1
P62807,0.999999677,0.999999909,H2BC4; H2BC6; H2BC7; H2BC8; H2BC10,0,1
P62820,0.999999993,1,RAB1A,3.884251267,1
P62826,0.999999873,0.999999877,RAN,6.757858947,1
P62829,0.732504555,0.521753712,RPL23,7.203146071,
P62834,0.999999744,0.999999521,RAP1A,1.388609852,1
P62837,0.999954671,0.999987286,UBE2D2,2.416993703,1
P62841,0.999577743,0.857129241,RPS15,7.895671902,1
P62847,0.954513696,0.705064,RPS24,6.257386631,1
P62854,0.995099197,0.82998074,RPS26,6.976775913,1
P62857,0.999999937,0.836438998,RPS28,7.204950143,1
P62873,0.999995982,0.999962357,GNB1,3.033399191,1
P62879,0.999821046,0.999979302,GNB2,6.89540359,1
P62888,0.999999764,0.999999901,RPL30,5.822262846,1
P62906,0.971249425,0.999993401,RPL10A,7.617151742,1
P62913,0.999806761,0.999998502,RPL11,7.586933234,1
P62917,0.955661401,0.806411667,RPL8,8.694165689,1
P62937,1,1,PPIA,6.111302184,1
P62942,0.999999996,0.999999992,FKBP1A,5.079177357,1
P62979,1,1,RPS27A,7.344073907,1
P62987,1,1,UBA52,6.68153211,1
P62993,0.999999999,0.999999192,GRB2,3.38419516,1
P63000,0.999999982,0.999994174,RAC1,5.747006505,1
P63010,0.999978821,0.999999739,AP2B1,3.456160237,1
P63027,0.999999978,1,VAMP2,4.602711603,1
P63092,0.999999463,0.999993437,GNAS,4.477465298,1
P63096,0.999999532,0.999998236,GNAI1,0.052205188,1
P63098,0.977177041,0.488872385,PPP3R1,2.594037914,
P63104,1,1,YWHAZ,5.649969616,1
P63120,0.585955363,0,ERVK-19,0,0
P63122,0.585955363,0.262214751,ERVK-8,0,0
P63125,0.585955363,0.123991189,ERVK-25,0,0
P63127,0.585955363,0.127020224,ERVK-9,0,0
P63128,0.585955363,0.35397184,ERVK-9,0,
P63129,0.585955363,0.127020224,ERVK-24,0,0
P63131,0.585955363,0,ERVK-7,0,0
P63132,0.163467568,0.315417048,HERVK_113,0,
P63133,0.141822965,0.378742755,ERVK-8,0,
P63135,0.141624784,0.449409343,ERVK-7,0,
P63136,0.129847559,0.397004482,ERVK-25,0,
P63146,0.962327053,0.280710275,UBE2B,2.827186515,0
P63151,0.999731267,0.958906726,PPP2R2A,3.278234107,1
P63165,0.966143996,0.70908868,SUMO1,3.110668172,1
P63167,1,0.999999944,DYNLL1,4.45795467,1
P63208,1,0.999999762,SKP1,4.056499751,1
P63220,0.991531792,0.838486775,RPS21,8.214445547,1
P63241,0.9999999,0.999999932,EIF5A,7.116105105,1
P63244,0.999999994,0.999999986,RACK1,6.813342754,1
P63252,0.244738185,0.187785295,KCNJ2,0.570449669,0
P63261,1,1,ACTG1,7.636808555,1
P63267,1,1,ACTG2,0,1
P63313,0.998191604,0.712307045,TMSB10,10.15132244,1
P67775,0.999999998,0.999973061,PPP2CA,4.039514934,1
P67809,0.999935731,0.999982213,YBX1,6.648251431,1
P67812,0.99604027,0.999998122,SEC11A,3.113720263,1
P67870,0.999509966,0.92179071,CSNK2B,0,1
P67936,0.999999999,0.999999986,TPM4,5.38076645,1
P68032,1,1,ACTC1,0.119088683,1
P68036,0.999294838,0.999877971,UBE2L3,3.30039141,1
P68104,1,1,EEF1A1,6.971746687,1
P68133,1,1,ACTA1,1.636661582,1
P68363,1,1,TUBA1B,7.423240992,1
P68366,0.999999999,1,TUBA4A,3.751057829,1
P68371,1,1,TUBB4B,8.458355318,1
P68400,0.999959715,0.999997855,CSNK2A1,3.196900233,1
P68402,0.99999995,0.999999712,PAFAH1B2,3.083500864,1
P68431,0.999999124,0.999997602,H3C1; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8; H3C10; H3C11; H3C12,0,1
P68543,0.59615615,0.144500274,UBXN2A,1.581187033,0
P68871,1,1,HBB,0.082098351,1
P69849,0.851283338,0.998341425,NOMO3,0.009800905,1
P69891,0.999969583,0.997875872,HBG1,0,1
P69892,0.999969583,0.997877058,HBG2,0,1
P69905,0.999999997,1,HBA1; HBA2,0,1
P78310,0.521239323,0.987162083,CXADR,2.316688039,1
P78312,0.25468464,0.378448512,FAM193A,1.265783093,
P78316,0.556153769,0.442722404,NOP14,3.708284143,
P78318,0.998937111,0.992628665,IGBP1,3.105494581,1
P78324,0.389613212,0.844460289,SIRPA,2.44656739,1
P78325,0.969283266,0.560377789,ADAM8,4.182177002,
P78329,0.9951824,0.667657064,CYP4F2,0.301742373,
P78332,0.910777319,0.610589565,RBM6,1.983077542,
P78344,0.996614064,0.999933118,EIF4G2,6.91263431,1
P78346,0.238502911,0.531375858,RPP30,2.139909348,
P78347,0.744864137,0.948698473,GTF2I,2.742997084,1
P78352,0.277780097,0.801231981,DLG4,1.616954245,1
P78356,0.995122613,0.766604026,PIP4K2B,0.009720181,1
P78357,0.323275356,0.284327475,CNTNAP1,1.46608954,0
P78363,0.372721439,0.317232609,ABCA4,0.036040537,
P78371,0.999999777,0.99999889,CCT2,5.211799268,1
P78380,0.782513179,0.451570214,OLR1,3.829560066,
P78381,0.519878288,0.939288157,SLC35A2,4.503324429,1
P78385,0.473108896,0.762477219,KRT83,0.250257894,1
P78386,0.873674301,0.856378344,KRT85,0,1
P78406,0.999996629,0.99996441,RAE1,3.599936394,1
P78413,0.131697858,0.64906965,IRX4,0,
P78417,0.999503035,0.997077202,GSTO1,3.116261751,1
P78423,0.318261087,0.25170084,CX3CL1,3.516084327,0
P78424,0.433041284,0.202874396,POU6F2,0.045311123,0
P78504,0.200291046,0.25834819,JAG1,4.546725721,0
P78509,0.222833424,0.292129434,RELN,0.00064876,0
P78527,0.994518893,0.999864308,PRKDC,3.335878186,1
P78537,0.999175962,0.999670032,BLOC1S1,4.672792115,1
P78539,0.225255803,0.442997747,SRPX,0.045913304,
P78540,0.528922869,0.304488821,ARG2,0.796067628,
P78545,0.875876834,0.431049043,ELF3,7.826767882,
P78559,0.346617463,0.364867472,MAP1A,1.120820555,
P78560,0.621463386,0.667713778,CRADD,0.294022388,
P78562,0.204122421,0.571646485,PHEX,0.093010424,
P78563,0.144759567,0.404649781,ADARB1,0.918907966,
P79483,0.999994576,0.821445364,HLA-DRB3,0,1
P80108,0.262358738,0.391013871,GPLD1,0.009477777,
P80188,0.999999999,0.856098639,LCN2,6.564722458,1
P80192,0.132027881,0.293683582,MAP3K9,1.416698018,0
P80217,0.999126603,0.978870372,IFI35,3.126558347,1
P80303,0.981989393,0.998745907,NUCB2,1.681404015,1
P80370,0.479108213,0.290340784,DLK1,0,0
P80404,0.136401315,0.650828575,ABAT,0.231074987,
P80511,0.999988982,0.279908269,S100A12,2.385221397,0
P81133,0.203276251,0.215556746,SIM1,0,0
P81274,0.484339996,0.771047462,GPSM2,2.237470179,1
P82094,0.270370022,0.834173912,TMF1,3.196744738,1
P82650,0.738103859,0.924545515,MRPS22,0.766472218,1
P82664,0.93015593,0.572883385,MRPS10,3.670661902,
P82673,0.898382796,0.820517082,MRPS35,3.260107952,1
P82675,0.1934881,0.719725097,MRPS5,3.239867221,1
P82932,0.986382084,0.709523383,MRPS6,1.668178057,1
P82933,0.920875685,0.842226779,MRPS9,1.863361455,1
P82979,0.983135745,0.922621155,SARNP,0.54918963,1
P82987,0.273046834,0.32980064,ADAMTSL3,0,
P83110,0.393169438,0.327003869,HTRA3,0.069576114,
P83859,0.746447969,0.206394382,QRFP,0.078751846,0
P83876,0.986391827,0.804602146,TXNL4A,3.160959268,1
P83916,0.964175012,0.99997151,CBX1,3.200992141,1
P84074,0.979528817,0.890280639,HPCA,0.706481429,1
P84077,0.999999676,1,ARF1,6.035844891,1
P84085,0.993940525,1,ARF5,6.192729278,1
P84090,0.999999994,0.999998245,ERH,4.351737211,1
P84095,0.999999977,0.999846072,RHOG,3.61064398,1
P84103,0.999999856,0.999922704,SRSF3,5.856469441,1
P84243,0.999999995,0.99999754,H3-3A; H3-3B,0,1
P84550,0.262821382,0.474332943,SKOR1,0.797856802,
P84996,0.136070117,0.16817616,GNAS,4.477465298,0
P85037,0.440895505,0.881768626,FOXK1,2.847159333,1
P86397,0.985099603,0.544167431,HTD2,0.326638233,
P98073,0.160651622,0.425342637,TMPRSS15,0,
P98077,0.39006745,0.432544811,SHC2,0.755000603,
P98082,0.132833349,0.896202702,DAB2,2.138844706,1
P98088,0.301056381,0.571855425,MUC5AC,1.636215114,
P98095,0.582657681,0.322383969,FBLN2,0.120503374,
P98160,0.897900334,0.590933907,HSPG2,4.123476699,
P98161,0.182151249,0.580195985,PKD1,3.776061229,
P98164,0.265371399,0.393168809,LRP2,0.007117996,
P98170,0.998454143,0.428149111,XIAP,3.201436973,
P98171,0.999511341,0.874064139,ARHGAP4,3.79585234,1
P98173,0.633441107,0.993458243,FAM3A,4.170997993,1
P98174,0.207257462,0.300221743,FGD1,0.106700715,
P98175,0.798388182,0.887271426,RBM10,3.943348463,1
P98179,0.994710793,0.996784343,RBM3,6.099805322,1
P98187,0.76752121,0.432423781,CYP4F8,0.042697235,
P98196,0.745919908,0.701517463,ATP11A,2.466392662,1
P98198,0.137441916,0.368682932,ATP8B2,1.043687834,
P99999,0.999998241,1,CYCS,5.924436304,1
Q00005,0.998371063,0.889442372,PPP2R2B,0.004660214,1
Q00059,0.999845594,0.756143228,TFAM,3.620648263,1
Q00169,0.999999826,0.950013712,PITPNA,3.299897875,1
Q00266,0.149327107,0.460565137,MAT1A,0,
Q00325,0.997648962,0.99999967,SLC25A3,6.093214602,1
Q00341,0.999683199,0.999828113,HDLBP,3.824725607,1
Q00403,0.853312591,0.395730373,GTF2B,2.444425616,
Q00444,0.434063649,0.229621579,HOXC5,2.077689165,0
Q00526,0.39443517,0.584572276,CDK3,1.741834424,
Q00535,0.135171531,0.80190079,CDK5,4.094287687,1
Q00536,0.55045233,0.695788549,CDK16,5.25804375,
Q00577,0.999879619,0.995672289,PURA,3.082457183,1
Q00604,0.832887743,0.073399609,NDP,0.09133363,0
Q00610,0.999999971,1,CLTC,3.912525586,1
Q00653,0.929411567,0.735154236,NFKB2,5.156813804,1
Q00688,0.99441688,0.714274699,FKBP3,3.443351269,1
Q00722,0.702812294,0.719810588,PLCB2,3.348664614,1
Q00796,0.17906221,0.747883006,SORD,2.49508381,1
Q00839,0.999999952,0.999999915,HNRNPU,5.857211475,1
Q00872,0.224087031,0.407350732,MYBPC1,1.612035665,
Q00888,0.602964235,0.280737271,PSG4,0,0
Q00889,0.902632874,0.375329968,PSG6,0,
Q00973,0.222715453,0.404329815,B4GALNT1,0.671952695,
Q00975,0.226427489,0.402904675,CACNA1B,0.020232901,
Q00978,0.136562429,0.43501594,IRF9,4.194984103,
Q01064,0.806412828,0.181638193,PDE1B,1.596945223,0
Q01081,0.715535174,0.998495041,U2AF1,2.084764857,1
Q01082,0.999067577,0.999827634,SPTBN1,4.106627591,1
Q01085,0.999995927,0.971139545,TIAL1,4.205249822,1
Q01101,0.160378446,0.152318585,INSM1,0,0
Q01105,0.999999753,0.999999949,SET,6.336472124,1
Q01113,0.194847045,0.26415865,IL9R,0.612982633,0
Q01118,0.142981375,0.298711223,SCN7A,0.004841535,0
Q01130,0.999999997,0.999999964,SRSF2,7.318799728,1
Q01167,0.564711531,0.779124567,FOXK2,2.338695944,1
Q01196,0.97358247,0.673555914,RUNX1,0.927740842,
Q01432,0.999647211,0.921296744,AMPD3,0.893990126,1
Q01433,0.984442784,0.869247866,AMPD2,4.802480726,1
Q01459,0.723267826,0.634585024,CTBS,2.388772063,
Q01469,1,0.99997575,FABP5,5.322142827,1
Q01484,0.444214464,0.796536878,ANK2,0.003557983,1
Q01518,1,0.999999785,CAP1,4.676995536,1
Q01538,0.212026171,0.366389434,MYT1,0,
Q01543,0.999996827,0.579732544,FLI1,0.376027815,
Q01546,0.999987747,0.995127666,KRT76,0.198518904,1
Q01581,0.657129368,0.835820765,HMGCS1,3.224939721,1
Q01628,0.999999987,0.857138727,IFITM3,5.934677531,1
Q01629,0.999999987,0.857127825,IFITM2,3.984854393,1
Q01638,0.265704083,0.580076833,IL1RL1,0.261376459,
Q01650,0.65051008,0.871811792,SLC7A5,5.072286854,1
Q01658,0.999997085,0.990795108,DR1,3.68715221,1
Q01668,0.204006829,0.332631771,CACNA1D,0.495364346,
Q01740,0.840830858,0.286050313,FMO1,0.017776193,0
Q01780,0.982077044,0.742803579,EXOSC10,3.74265844,1
Q01804,0.144833237,0.536121808,OTUD4,2.237637937,
Q01813,0.999998987,0.999677385,PFKP,3.736356556,1
Q01814,0.430330978,0.994010971,ATP2B2,0.000875555,1
Q01826,0.158723259,0.470320063,SATB1,1.662271061,
Q01831,0.267111046,0.484588737,XPC,2.553859628,
Q01844,0.999975632,0.999968788,EWSR1,5.592722689,1
Q01850,0.50265657,0.593432499,CDR2,1.91139656,
Q01954,0.138700217,0.390630849,BNC1,0.25632322,
Q01955,0.692848011,0.592118316,COL4A3,0.002237297,
Q01959,0.318347487,0.179279024,SLC6A3,0,0
Q01970,0.180574613,0.76243141,PLCB3,4.681184998,1
Q01973,0.417232719,0.652656072,ROR1,0.645174992,
Q01974,0.129824601,0.239507134,ROR2,0.024035356,0
Q02040,0.430135532,0.168526688,AKAP17A,4.819307166,0
Q02045,0.710107179,0.638412699,MYL5,3.14826853,
Q02083,0.994789958,0.655981784,NAAA,1.437317599,
Q02156,0.459596572,0.638927761,PRKCE,0.592160901,
Q02218,0.998412625,0.999883878,OGDH,2.835596599,1
Q02224,0.740156446,0.695370841,CENPE,2.081019972,
Q02241,0.318535719,0.462737439,KIF23,3.26503267,
Q02246,0.421220834,0.678014975,CNTN2,0.037350555,
Q02252,0.408069478,0.925403581,ALDH6A1,1.835481333,1
Q02318,0.399359881,0.997486793,CYP27A1,2.313976377,1
Q02338,0.22827475,0.711139153,BDH1,0.010531272,1
Q02388,0.221719681,0.409016489,COL7A1,1.38956048,
Q02413,0.132073065,0.43006177,DSG1,0,
Q02487,0.234143005,0.523630077,DSC2,2.877098172,
Q02505,0.180458285,0.378041797,MUC3A,4.63954172,
Q02509,0.153768926,0.229444019,OC90,0,0
Q02539,0.879441045,0.838120486,H1-1,1.847809583,1
Q02543,0.665018531,0.990507439,RPL18A,7.3966862,1
Q02548,0.194063195,0.360487089,PAX5,0.039375482,
Q02556,0.152183776,0.358978133,IRF8,3.116354621,
Q02742,0.268484055,0.404800554,GCNT1,1.03989154,
Q02750,0.996085395,0.957269329,MAP2K1,2.075229222,1
Q02763,0.142713906,0.331026723,TEK,0,
Q02779,0.270249237,0.314366078,MAP3K10,3.353102545,
Q02790,0.999999937,0.99998847,FKBP4,5.776940843,1
Q02809,0.998279772,0.987745628,PLOD1,4.179651169,1
Q02817,0.275613496,0.477659897,MUC2,0.908995077,
Q02818,0.999947317,0.99999977,NUCB1,5.115720178,1
Q02846,0.134255233,0.384919781,GUCY2D,0.375259048,
Q02878,0.999241899,0.826132588,RPL6,6.677701435,1
Q02880,0.998366482,0.88000314,TOP2B,3.143790157,1
Q02928,0.816965528,0.433103054,CYP4A11,0,
Q02952,0.879165514,0.549177219,AKAP12,0.645831631,
Q02978,0.999994766,0.992462818,SLC25A11,4.65745438,1
Q02985,0.183072356,0.24969422,CFHR3,0.032142366,0
Q03001,0.850925939,0.866621599,DST,2.286370556,1
Q03013,0.999976659,0.629531753,GSTM4,2.931370234,
Q03052,0.705113184,0.249074476,POU3F1,0.810151856,0
Q03112,0.735800305,0.42865939,MECOM,1.343105528,
Q03113,0.896913331,0.82931093,GNA12,1.989632529,1
Q03135,0.999997781,0.256957814,CAV1,2.668772502,0
Q03154,0.290785816,0.726339269,ACY1,2.98749149,1
Q03164,0.713120675,0.834641143,KMT2A,2.549547038,1
Q03167,0.129951017,0.499582058,TGFBR3,0.810349272,
Q03169,0.277449229,0.87754825,TNFAIP2,3.828320913,1
Q03181,0.235147447,0.214340275,PPARD,2.538258797,0
Q03188,0.66194753,0.421349564,CENPC,1.32823136,
Q03252,0.999998624,0.999999544,LMNB2,4.507355405,1
Q03431,0.294007612,0.161516281,PTH1R,0.062494447,0
Q03468,0.653565883,0.58574516,ERCC6,1.060285932,
Q03518,0.999661072,0.999999986,TAP1,0.30136618,1
Q03519,0.999890217,0.981951459,TAP2,0,1
Q03692,0.131147674,0.1521625,COL10A1,0.008407414,0
Q03701,0.404286342,0.554600352,CEBPZ,3.790977271,
Q03936,0.130517567,0.268748578,ZNF92,2.374397419,0
Q03989,0.157969351,0.454721587,ARID5A,3.705362765,
Q04206,0.223100802,0.98617723,RELA,5.193545566,1
Q04323,0.999999025,0.889318266,UBXN1,5.81423443,1
Q04446,0.69972928,0.993547768,GBE1,0.650496556,1
Q04609,0.596498379,0.418323653,FOLH1,0,
Q04637,0.995708925,0.999999853,EIF4G1,6.6261338,1
Q04656,0.268692128,0.706285439,ATP7A,1.104436981,1
Q04695,1,0.999975773,KRT17,4.588569314,1
Q04721,0.215869712,0.309876434,NOTCH2,2.005652696,
Q04724,0.527640189,0.326485688,TLE1,2.270717175,
Q04725,0.271131225,0.460753782,TLE2,0.077636378,
Q04726,0.716469333,0.70552398,TLE3,3.455478518,1
Q04727,0.338447513,0.398115851,TLE4,0.565953806,
Q04756,0.259120917,0.22968097,HGFAC,0.085698357,0
Q04759,0.813048071,0.420356449,PRKCQ,0.094239952,
Q04760,0.999999967,0.99752305,GLO1,3.359598055,1
Q04771,0.448632578,0.557586156,ACVR1,0.884371882,
Q04828,0.13950676,0.683285482,AKR1C1,1.18385323,
Q04837,1,1,SSBP1,2.552783602,1
Q04864,0.661905354,0.714870501,REL,2.182102825,1
Q04912,0.466254007,0.556971387,MST1R,4.397210098,
Q04917,0.99999986,0.999999998,YWHAH,5.229759005,1
Q04941,0.999986132,0.945085195,PLP2,6.937310614,1
Q05048,0.141661078,0.485029073,CSTF1,3.350817052,
Q05084,0.274909785,0.532300146,ICA1,0.749472193,
Q05086,0.708713441,0.942599397,UBE3A,2.407031989,1
Q05193,0.994654973,0.9531478,DNM1,2.081759788,1
Q05209,0.974982289,0.869443055,PTPN12,3.026565266,1
Q05215,0.140363095,0.234713522,EGR4,3.82104865,0
Q05397,0.817248239,0.875393246,PTK2,1.625374099,1
Q05469,0.22894127,0.708517307,LIPE,2.21097678,1
Q05519,0.999983969,0.937262469,SRSF11,4.691908774,1
Q05586,0.543977042,0.309986145,GRIN1,0.883885746,
Q05639,0.999999975,1,EEF1A2,0.801291304,1
Q05655,0.984490326,0.813649318,PRKCD,3.540665807,1
Q05707,0.793389039,0.573411004,COL14A1,0.00427833,
Q05823,0.14877637,0.471191308,RNASEL,1.6442025,
Q05923,0.348263214,0.482292454,DUSP2,5.80384007,
Q05BU3,0.875189321,0.345997467,FAM86JP,0.987981006,
Q05BV3,0.712697666,0.725630788,EML5,0.02393276,1
Q05C16,0.140309749,0.227432095,LRRC63,0,0
Q05D60,0.629033101,0.660497567,DEUP1,0,
Q06033,0.564203265,0.498892204,ITIH3,0.113202193,
Q06124,0.996372383,0.908110871,PTPN11,3.021914177,1
Q06136,0.629439343,0.941180647,KDSR,3.108182655,1
Q06187,0.854487973,0.637382217,BTK,1.089048567,
Q06190,0.326696106,0.372103887,PPP2R3A,0.200132672,
Q06203,0.322224308,0.758717311,PPAT,2.006854854,1
Q06210,0.87680206,0.970507259,GFPT1,3.587128654,1
Q06250,0.507641421,0.106339417,WT1-AS,0.055264888,0
Q06278,0.399171784,0.506024218,AOX1,0.203217707,
Q06323,0.999999998,1,PSME1,6.133435718,1
Q06330,0.987594991,0.547169583,RBPJ,1.766976061,
Q06418,0.13034251,0.30316524,TYRO3,2.748214721,
