protein.Accession,protein_probability,protein_probability_soft_label,gene_symbol,mRNA_TPM,hard_label
O15116,0.823546358,0.746321325,LSM1,3.357638192,1
O15117,0.162146455,0.596756813,FYB1,1.046575853,
O15118,0.280592605,0.382699211,NPC1,2.599865651,
O15119,0.146928617,0.302552394,TBX3,3.572378209,
O15120,0.999377373,0.999305971,AGPAT2,5.65048572,1
O15123,0.272357322,0.515625559,ANGPT2,0.015697515,
O15131,0.951026394,0.997886391,KPNA5,0.586778056,1
O15143,0.999978521,0.999956215,ARPC1B,4.094685989,1
O15144,0.999999974,0.999999493,ARPC2,4.578254238,1
O15145,0.999999998,0.999995966,ARPC3,5.368143413,1
O15146,0.135034657,0.253397756,MUSK,0.002438228,0
O15151,0.824701067,0.435194482,MDM4,3.72470296,
O15160,0.999760956,0.904567505,POLR1C,2.594538206,1
O15162,0.990113409,0.418069433,PLSCR1,3.221804402,
O15164,0.237842579,0.25481629,TRIM24,1.903797656,0
O15165,0.967861807,0.379802182,LDLRAD4,0.343277225,
O15169,0.129846988,0.250378776,AXIN1,3.152137659,0
O15173,0.980136346,0.999987563,PGRMC2,3.372029437,1
O15195,0.587288789,0.652154546,VILL,4.120519734,
O15197,0.360404048,0.508370491,EPHB6,0.727499186,
O15204,0.246762797,0.438987186,ADAMDEC1,0.599074247,
O15209,0.177667943,0.354000538,ZBTB22,0,
O15211,0.148775966,0.573777286,RGL2,0.04511745,
O15212,0.486548978,0.710706379,PFDN6,0.071325213,1
O15213,0.742132781,0.266043557,WDR46,0.064238854,0
O15218,0.173368034,0.128669172,GPR182,0,0
O15226,0.176117803,0.421916783,NKRF,3.155254746,
O15228,0.142871448,0.994526818,GNPAT,3.037879632,1
O15230,0.258671374,0.472750121,LAMA5,3.694733513,
O15231,0.999897825,0.854132573,ZNF185,1.939972625,1
O15239,0.665280285,0.285711446,NDUFA1,5.554424272,0
O15240,0.434828234,0.347756749,VGF,2.892433944,
O15254,0.929719547,0.997436528,ACOX3,0.910883885,1
O15255,0.334730339,0.241795293,RTL8C,6.2219492,0
O15260,0.996934934,0.999999888,SURF4,5.660658876,1
O15264,0.99925468,0.659253867,MAPK13,4.00272291,
O15265,0.284209002,0.301994652,ATXN7,1.462734369,
O15269,0.996619599,0.999997098,SPTLC1,1.942457955,1
O15270,0.87066092,0.965466766,SPTLC2,1.946049492,1
O15294,0.844290123,0.954146674,OGT,5.032478833,1
O15296,0.129866089,0.322504426,ALOX15B,0.236188529,
O15297,0.827181786,0.855181263,PPM1D,1.278299806,1
O15303,0.268979868,0.377018782,GRM6,0,
O15305,0.92986238,0.76480673,PMM2,2.524907702,1
O15321,0.912693888,0.868962466,TM9SF1,2.84520757,1
O15344,0.94760145,0.255309878,MID1,0.989133557,0
O15350,0.734672081,0.176595993,TP73,0.106643447,0
O15353,0.152633156,0.389793348,FOXN1,0,
O15354,0.156949286,0.375809393,GPR37,0.181983102,
O15355,0.754852325,0.830530314,PPM1G,5.097099971,1
O15357,0.834591708,0.559631175,INPPL1,4.723069035,
O15360,0.625304214,0.648949806,FANCA,3.078337364,
O15370,0.362465782,0.196132275,SOX12,5.427724624,0
O15371,0.999929166,0.999973682,EIF3D,5.494748148,1
O15372,0.989775604,0.988361483,EIF3H,3.320115047,1
O15381,0.305588772,0.688946191,NVL,1.206388058,
O15382,0.999991932,0.99987182,BCAT2,3.558926325,1
O15389,0.26558255,0.352530738,SIGLEC5,0.103361569,
O15394,0.156841458,0.266859448,NCAM2,0,0
O15397,0.998331101,0.716939668,IPO8,2.272666837,1
O15399,0.197174159,0.282275288,GRIN2D,3.520637354,0
O15400,0.998455281,0.999998932,STX7,2.169383729,1
O15403,0.165258868,0.078231042,SLC16A6,1.294767009,0
O15405,0.32681225,0.482481657,TOX3,2.197462101,
O15409,0.225932176,0.622363068,FOXP2,0.000553554,
O15417,0.411230594,0.746019536,TNRC18,4.04809741,1
O15427,0.996729154,0.992877296,SLC16A3,3.924745859,1
O15438,0.187356644,0.693709436,ABCC3,4.447239748,
O15439,0.189519187,0.404917462,ABCC4,0.695323795,
O15446,0.151787212,0.83807152,POLR1G,5.695660485,1
O15455,0.181465936,0.583288604,TLR3,0.191143711,
O15457,0.256460259,0.376391362,MSH4,0.061652321,
O15460,0.983643103,0.650759127,P4HA2,1.829733689,
O15466,0.192401403,0.049633028,ST8SIA5,0.003671742,0
O15467,0.658458614,0.122774007,CCL16,0,0
O15480,0.132653274,0.133097294,MAGEB3,0,0
O15481,0.789284725,0.460171149,MAGEB4,0,
O15492,0.160469137,0.289246415,RGS16,3.817885187,0
O15498,0.472942871,0.999987243,YKT6,4.801279825,1
O15504,0.503470942,0.618050792,NUP42,3.06691516,
O15511,0.999998105,0.999243998,ARPC5,4.587095724,1
O15514,0.999999997,0.999302022,POLR2D,3.038723674,1
O15516,0.135856141,0.332710941,CLOCK,1.529276255,
O15519,0.344285743,0.678087142,CFLAR,3.183972461,
O15523,0.999996353,0.999998498,DDX3Y,0.134378444,1
