gcnconv-drop,l_pre,l_mp,l_post,stage,epoch,ckpt_clean,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
0.0,1,2,2,skipconcat,299,True,0.577,0.0074,461.0,0.5374,0.0036,0.8089,0.0026,0.7647,0.0083,0.82,0.0082,0.7913,0.0006,0.8756,0.004
0.0,1,2,2,skipsum,99,True,0.6787,0.0278,361.0,0.528,0.0005,0.7003,0.1828,0.7183,0.1962,0.8263,0.1261,0.7327,0.0853,0.8557,0.0253
0.0,1,2,2,skipsum,199,True,0.6423,0.0362,361.0,0.5338,0.0022,0.7654,0.0954,0.7421,0.1388,0.8325,0.0922,0.7671,0.0505,0.8789,0.0277
0.0,1,2,2,skipsum,299,True,0.6059,0.0309,361.0,0.5289,0.0063,0.8276,0.0025,0.8342,0.0311,0.7651,0.044,0.7963,0.0108,0.8748,0.033
0.0,1,2,2,stack,99,True,0.6987,0.0373,361.0,0.5341,0.0048,0.7663,0.0159,0.7557,0.0698,0.7274,0.1201,0.729,0.0412,0.8344,0.0093
0.0,1,2,2,stack,199,True,0.6538,0.0343,361.0,0.5322,0.0019,0.768,0.0407,0.7012,0.0611,0.8557,0.0472,0.7669,0.0206,0.8519,0.01
0.0,1,2,2,stack,299,True,0.6245,0.0281,361.0,0.5302,0.0045,0.7944,0.0097,0.7484,0.0092,0.8051,0.0152,0.7757,0.0113,0.8482,0.0114
0.0,1,3,1,skipconcat,99,True,0.7086,0.0152,661.0,0.7419,0.0026,0.6973,0.099,0.4658,0.33,0.5573,0.3945,0.5069,0.3584,0.842,0.0209
0.0,1,3,1,skipconcat,199,True,0.6499,0.0192,661.0,0.7385,0.0034,0.715,0.1109,0.5014,0.3546,0.5294,0.3744,0.515,0.3642,0.8403,0.0125
0.0,1,3,1,skipconcat,299,True,0.6192,0.0206,661.0,0.743,0.0031,0.7973,0.0052,0.7577,0.0196,0.7981,0.0272,0.7766,0.004,0.8473,0.0129
0.0,1,3,1,skipsum,99,True,0.7059,0.0269,361.0,0.7402,0.0015,0.7328,0.0893,0.6701,0.0997,0.8816,0.075,0.7511,0.0438,0.8686,0.0439
0.0,1,3,1,skipsum,199,True,0.6186,0.016,361.0,0.7351,0.0037,0.7959,0.0019,0.7489,0.0074,0.8098,0.0147,0.778,0.0035,0.8873,0.0096
0.0,1,3,1,skipsum,299,True,0.5774,0.0106,361.0,0.7409,0.0019,0.8016,0.0047,0.7472,0.0135,0.8337,0.0139,0.7879,0.0012,0.8959,0.0016
0.0,1,3,1,stack,99,True,0.7085,0.0187,361.0,0.7344,0.0046,0.7386,0.0172,0.6638,0.0144,0.8267,0.0249,0.7363,0.0187,0.8125,0.0177
0.0,1,3,1,stack,199,True,0.7042,0.058,361.0,0.735,0.0075,0.6464,0.1217,0.5981,0.1073,0.8455,0.1114,0.6866,0.0577,0.6954,0.1213
0.0,1,3,1,stack,299,True,0.6864,0.0666,361.0,0.7379,0.0035,0.6508,0.1235,0.6116,0.1144,0.8173,0.1334,0.6816,0.0576,0.7038,0.123
0.0,1,3,2,skipconcat,99,True,0.6836,0.0381,771.0,0.7441,0.0024,0.7736,0.0318,0.7143,0.0612,0.8419,0.0683,0.7676,0.0112,0.8115,0.0441
0.0,1,3,2,skipconcat,199,True,0.6323,0.0179,771.0,0.7353,0.0076,0.777,0.0316,0.7099,0.0553,0.8604,0.0511,0.7743,0.0139,0.8247,0.0503
0.0,1,3,2,skipconcat,299,True,0.6008,0.0177,771.0,0.7433,0.0059,0.7858,0.0357,0.7272,0.0633,0.851,0.054,0.7798,0.017,0.8264,0.0501
0.0,1,3,2,skipsum,99,True,0.6575,0.0078,471.0,0.74,0.0011,0.8013,0.0192,0.761,0.0494,0.8161,0.057,0.7841,0.0113,0.8786,0.0167
0.0,1,3,2,skipsum,199,True,0.5973,0.0175,471.0,0.7369,0.0024,0.8333,0.0007,0.821,0.0059,0.7965,0.0095,0.8085,0.0022,0.8892,0.0072
0.0,1,3,2,skipsum,299,True,0.5627,0.0187,471.0,0.7385,0.0056,0.8359,0.0014,0.8188,0.0032,0.8075,0.0089,0.813,0.0029,0.8954,0.004
0.0,1,3,2,stack,99,True,0.6887,0.018,471.0,0.7346,0.0093,0.7278,0.0401,0.6634,0.059,0.8235,0.0866,0.7284,0.0184,0.7845,0.0586
0.0,1,3,2,stack,199,True,0.6488,0.0327,471.0,0.7378,0.0063,0.7516,0.026,0.6751,0.0403,0.8588,0.0371,0.754,0.0114,0.8052,0.0448
0.0,1,3,2,stack,299,True,0.6253,0.0414,471.0,0.73,0.0039,0.7607,0.0304,0.6978,0.0522,0.8318,0.0532,0.7553,0.0113,0.8077,0.047
0.0,2,1,1,skipconcat,99,True,0.7179,0.0369,251.0,0.3305,0.0028,0.6672,0.1599,0.6447,0.1437,0.84,0.1157,0.7062,0.068,0.8513,0.0141
0.0,2,1,1,skipconcat,199,True,0.6684,0.0333,251.0,0.327,0.0035,0.689,0.1543,0.663,0.1471,0.8529,0.1032,0.724,0.0699,0.8512,0.0207
